site,lat,lon,cluster,days_detected
10.81_79.3,10.81330625,79.30465625,0,8
10.81_79.31,10.812951111111111,79.30673422222222,0,128
10.82_79.31,10.815447142857144,79.30632095238096,0,21
10.88_77.27,10.880754,77.267458,1,4
10.92_77.06,10.922729444444444,77.06169027777779,2,34
10.93_77.06,10.929903333333334,77.06367773333332,2,73
10.93_77.07,10.929511999999999,77.06582325000001,2,39
11.17_79.09,11.174985,79.08800500000001,3,2
11.18_79.09,11.17670211111111,79.08825866666668,3,90
11.18_79.1,11.182343764705882,79.100338,3,78
11.19_79.1,11.18525,79.0995,3,1
11.31_79.8,11.30627,79.80476666666667,4,3
11.31_79.81,11.305561,79.80639099999999,4,10
11.3_79.8,11.30448,79.80387,4,1
11.3_79.81,11.303057272727273,79.80742818181818,4,32
11.81_77.91,11.81484,77.91486,5,1
11.81_77.92,11.810700864978903,77.92155335443039,5,356
11.81_77.93,11.809313571428572,77.92583880952381,5,40
11.82_77.91,11.81636625,77.91469000000001,5,8
11.82_77.92,11.816562588832488,77.91736456852792,5,353
12.81_77.43,12.80797,77.43362,6,1
12.85_79.9,12.851478461538461,79.90380499999999,7,20
12.85_79.91,12.851661666666667,79.90586666666667,7,11
12.86_79.9,12.855673333333334,79.90415666666667,7,3
12.86_79.91,12.855823125,79.906914375,7,14
12.97_79.91,12.96651,79.912795,8,4
12.97_79.92,12.966835,79.9161,8,2
13.08_79.98,13.081557586206896,79.98082517241379,9,24
13.09_79.98,13.08525,79.97984,9,1
13.0_74.85,13.003213888888888,74.85104444444444,10,15
13.16_80.28,13.160217566539924,80.28299490494297,11,225
13.16_80.29,13.160184179104478,80.28611843283582,11,127
13.29_80.34,13.291410833333334,80.34209777777778,12,33
13.29_80.35,13.29179,80.34502,12,1
13.39_80.1,13.392156486486487,80.10193162162163,13,36
13.42_80.09,13.420042564102564,80.08833538461538,14,34
13.55_77.01,13.554211612903226,77.01271225806451,15,31
13.56_77.01,13.555638235294118,77.01313176470589,15,17
13.71_79.62,13.714395999999999,79.624078,16,5
13.71_79.63,13.714149999999998,79.62536,16,3
13.72_79.62,13.716256999999999,79.62374600000001,16,10
13.72_79.63,13.716235,79.62569166666667,16,6
13.9_76.56,13.898477916666666,76.56405,17,24
13.9_76.57,13.898271,76.56592833333335,17,29
14.59_78.58,14.588063770491804,78.58064049180328,18,57
14.61_78.52,14.606081354166667,78.52252385416666,19,94
14.6_78.52,14.604604615384615,78.52235384615385,19,26
14.87_78.05,14.873060151515151,78.05242863636363,20,120
14.87_78.06,14.87305,78.055155,20,2
14.88_78.05,14.875707,78.052026,20,18
14.93_78.34,14.93036125,78.33993625,21,8
15.01_76.9,15.013144102564102,76.8986958974359,22,37
15.01_77.0,15.006125588235292,76.99938823529412,23,30
15.02_76.9,15.01539,76.897615,22,2
15.02_78.01,15.022820580357143,78.01324404017858,24,414
15.02_78.02,15.023016540880503,78.01582094339624,24,151
15.03_78.01,15.025055,78.01206,24,2
15.03_78.02,15.02513,78.01613,24,2
15.07_76.86,15.071906386554621,76.86440462184873,25,110
15.07_76.87,15.071111456692913,76.86623618110237,25,234
15.08_76.86,15.07521,76.86497,25,1
15.08_76.87,15.075356,76.865648,25,5
15.0_77.0,15.00419125,76.999034375,23,31
15.12_76.81,15.119013918918919,76.8111577027027,26,141
15.13_76.71,15.13467625,76.70905,27,8
15.14_76.71,15.137084014598539,76.70914666666667,27,369
15.15_76.71,15.150455619469026,76.71037758849558,27,385
15.16_76.38,15.16366448275862,76.38041379310346,28,25
15.17_76.37,15.172751428571429,76.37461964285714,28,27
15.17_76.38,15.171271301813471,76.37857629533679,28,872
15.17_76.65,15.174213116883116,76.65377012987013,29,221
15.17_76.66,15.173360214446951,76.65952020316027,29,582
15.17_76.67,15.16950568275862,76.66885197241379,29,424
15.17_76.68,15.172593155737705,76.68192901639344,29,200
15.17_76.69,15.171908961038962,76.68773207792208,29,72
15.17_76.78,15.173411428571429,76.78474285714286,30,7
15.17_76.79,15.17345741935484,76.78635903225806,30,93
15.17_77.1,15.174288823529412,77.10065470588235,31,17
15.18_76.37,15.17522,76.37451,28,1
15.18_76.38,15.175442833333333,76.37750533333333,28,58
15.18_76.63,15.18448,76.633675,29,2
15.18_76.64,15.183502185185183,76.64167803703704,29,211
15.18_76.65,15.178098469387756,76.65306704931973,29,792
15.18_76.66,15.177572524271843,76.65808810424119,29,1006
15.18_76.67,15.18007794871795,76.66888921568628,29,428
15.18_76.68,15.178420361445784,76.67809963855422,29,262
15.18_76.69,15.17505,76.69120000000001,29,2
15.18_76.78,15.17567,76.785,30,1
15.18_76.79,15.180005344827585,76.78900862068966,30,54
15.18_77.1,15.178683148648648,77.10294093243243,31,650
15.18_77.11,15.178723170731706,77.10538243902438,31,41
15.19_76.38,15.194659444444445,76.37921833333333,32,18
15.19_76.64,15.1858624,76.6406472,29,108
15.19_76.65,15.18720791044776,76.65316820895522,29,61
15.19_76.66,15.187509272151898,76.65794047468354,29,261
15.19_76.67,15.185756153846153,76.67302692307693,29,12
15.19_76.68,15.185708333333332,76.67610666666667,29,6
15.19_77.1,15.18668,77.10155333333334,31,3
15.22_76.76,15.224301034482759,76.76312672413793,33,54
15.22_76.77,15.22406,76.765595,33,8
15.23_76.76,15.22606956521739,76.76296032608695,33,88
15.23_76.77,15.226308947368421,76.76552052631578,33,19
15.2_76.38,15.196497142857144,76.37947107142857,32,81
15.31_76.25,15.311313750000002,76.25362041666666,34,23
15.31_76.26,15.314318571428572,76.25615142857143,34,7
15.32_76.23,15.322049999999999,76.23254,35,5
15.32_76.25,15.315965365853657,76.25382682926829,34,41
15.32_76.26,15.315769285714286,76.2554192857143,34,14
15.33_76.24,15.33132,76.2448,36,1
15.33_76.25,15.333186666666666,76.24694476190477,36,39
15.33_76.28,15.33344737704918,76.28443778688525,37,121
15.33_76.29,15.333421957186545,76.28629626911315,37,317
15.34_76.25,15.338320000000001,76.25008,36,3
15.34_76.27,15.338555,76.274515,37,11
15.34_76.28,15.33789066246057,76.278481829653,37,247
15.34_76.29,15.3354758,76.2859004,37,50
15.52_73.99,15.524501666666666,73.99437666666667,38,6
15.52_74.0,15.52334023529412,73.99747470588235,38,80
15.53_73.99,15.526834649681529,73.99274388535032,38,290
15.53_74.0,15.525347142857143,73.99654285714284,38,6
15.66_73.99,15.65850114873035,73.98886385731561,39,661
15.68_78.46,15.684211627906977,78.45781906976744,40,43
15.69_78.46,15.685516923076923,78.45773769230769,40,13
15.91_77.36,15.914366734693878,77.36273979591837,41,47
15.92_77.36,15.915962892561984,77.36285487603305,41,117
15.96_80.94,15.962863636363636,80.93847696969696,42,63
15.97_80.94,15.965605,80.93906000000001,42,2
16.36_81.28,16.360975,81.28329666666667,43,5
16.36_81.29,16.36155,81.28519,43,1
16.69_79.65,16.69473857142857,79.6489142857143,44,7
16.71_79.82,16.714368,79.818065,45,10
16.72_79.82,16.715545714285714,79.81812000000001,45,7
16.7_79.65,16.69620837209302,79.64911837209301,44,43
16.81_79.91,16.8102,79.91486,46,1
16.83_80.04,16.831826666666668,80.03688416666667,47,11
16.87_80.02,16.871642119205298,80.02192907284768,48,285
16.87_80.03,16.87128,80.02516,48,1
16.87_80.12,16.874814999999998,80.11975,49,2
16.88_80.12,16.876221875,80.12025,49,16
16.88_81.96,16.88399,81.95864,50,3
17.06_76.98,17.0628888,76.9788742117647,51,374
17.07_76.98,17.06546659574468,76.9784474468085,51,47
17.14_77.17,17.139762352941176,77.17456882352941,52,17
17.14_77.18,17.14071453125,77.1819437890625,52,222
17.14_77.19,17.14047552631579,77.185375,52,38
17.14_78.22,17.144446810344828,78.22320456896551,53,113
17.14_78.23,17.144249166666665,78.22542083333333,53,24
17.15_78.22,17.14642023391813,78.22318771929825,53,312
17.15_78.23,17.14648268656716,78.22548194029851,53,67
17.22_79.02,17.219893846153845,79.02366692307692,54,13
17.22_79.03,17.219955,79.025465,54,4
17.46_80.65,17.462886666666666,80.65325166666666,55,6
17.46_80.66,17.46301,80.65543,55,1
17.53_83.0,17.532578571428573,83.00020542857142,56,32
17.58_80.31,17.58287117647059,80.3140832352941,57,32
17.58_80.32,17.582995705128205,80.31715160256411,57,136
17.59_80.31,17.585288333333335,80.31459166666667,57,6
17.59_80.32,17.58547375,80.3181475,57,16
17.61_83.19,17.61304555555556,83.19149555555556,58,9
17.61_83.2,17.608302732426306,83.20255277210885,58,922
17.61_83.21,17.610262679999998,83.20574588000001,58,221
17.62_83.19,17.622803010752687,83.19393903225806,58,88
17.62_83.2,17.622740454545454,83.19582606060605,58,65
